,Europeana ID,Title,Year,Duration,Composer,DateOfBirth,DateOfDeath,Biography,Publisher,Place
10,9200369/webclient_DeliveryManager_pid_8385174_custom_att_2_simple_viewer,CD 6: Casse-noisette acte 2.,2010,30000,PetrIlʹič Čajkovskij,,,,Emi Classics,City of London
11,2059210/data_sounds_http___archive_org_download_kw1999_08_07_shnf_keller1999_08_07t04_mp3,Crazy Train,2003,274704,Keller Williams,1970-02-04,,"Keller Williams (born February 4, 1970) is an American musician from Fredericksburg, Virginia, who began performing in the early 1990s. He is also known by the name K-Dub when performing. Williams' music combines elements of bluegrass, folk, alternative rock, reggae, electronica/dance, jazz, funk, and other assorted genres. He is often described as a 'one-man jam-band' due to his frequent use of live phrase looping with multiple instruments.",,
12,496/MIL0873549,9: Violin Concerto / Beethoven ; Carlo Maria Giulini [direttore,2013,30073,Ludwig van Beethoven,,,,Warner Music,
13,496/MIL0877607,Aida (Highlights) ,2012,30073,Giuseppe Verdi,1813-10-10,1901-01-27,"Giuseppe Fortunino Francesco Verdi (9 or 10 October 1813 – 27 January 1901) was an Italian Romantic composer primarily known for his operas. He is considered, together with Richard Wagner, the preeminent opera composer of the nineteenth century. Verdi dominated the Italian opera scene after the eras of Bellini, Donizetti and Rossini. His works are frequently performed in opera houses throughout the world and, transcending the boundaries of the genre, some of his themes have long since taken root in popular culture, as ""La donna è mobile"" from Rigoletto, ""Libiamo ne' lieti calici"" (The Drinking Song) from La traviata, ""Va, pensiero"" (The Chorus of the Hebrew Slaves) from Nabucco, the ""Coro di zingari"" (Anvil Chorus) from Il trovatore and the ""Grand March"" from Aida.Moved by the death of compatriot Alessandro Manzoni, Verdi wrote Messa da Requiem in 1874 in Manzoni's honour, a work now regarded as a masterpiece of the oratorio tradition and a testimony to his capacity outside the field of opera. Visionary and politically engaged, he remains – alongside Garibaldi and Cavour – an emblematic figure of the reunification process of the Italian peninsula (the Risorgimento).",Sony Music Entertainment,
14,2059210/data_sounds_http___archive_org_download_bobwalkenhorst2014_04_23_flac_bobwalkenhorst2014_04_23d2t08_mp3,Missouri Girl,2014,216921,Bob Walkenhorst,,,"Bob Walkenhorst is a Kansas City-based singer/songwriter/musician/painter. After growing up in his hometown of Norborne, Missouri, he became a founding member of Midwestern U.S. groups such as Phantasia, Trizo 50, Steve, Bob & Rich, and the popular roots rock band The Rainmakers. In the Kansas City area, he currently gives weekly performances and participates in art gallery shows.As the singer/songwriter of his most well-known band, The Rainmakers, from 1986–1996, his discography included five full-length studio albums, one live concert recording, and one ""best-of"" album. After the dissolution of the band, he released his first solo album, The Beginner, in 2003. In 2009, he teamed up with fellow Kansas City musician Jeff Porter to release an album entitled No Abandon, under the moniker Walkenhorst and Porter. Throughout his career as a musician, he has maintained a reputation for producing clever and provocative lyrics, which have garnered him wide critical acclaim. Walkenhorst hosted and helped in the production of a number of educational videos, including ""Growing Up"", a set of teaching videos on puberty for school-age children.",,Russia
15,2059210/data_sounds_http___archive_org_download_guster2011_04_08_ccm41_flac16_guster2011_04_08t02_mp3,Manifest Destiny,2011,203337,Guster,,,"Guster is an American alternative rock band from Boston, Massachusetts. Formed in 1991, the group is known for its live performances and humor. Founding members Adam Gardner, Ryan Miller, and Brian Rosenworcel came about to begin practice sessions while attending Tufts University in Medford, Massachusetts. The members met during the freshmen Wilderness Orientation program in August 1991, playing publicly together as a trio two months later at the Midnight Cafe coffee house set in the common area of the Lewis Hall dormitory. While attending Tufts, the band lived at 139 College Avenue in Somerville, Massachusetts.The band stayed ""underground"" for its first two full-length albums, Parachute (1995) and Goldfly (1997), but broke into the musical mainstream in 1999 with its third studio album Lost and Gone Forever, with the single ""Fa Fa,"" which made it onto the Adult Top 40. The band has enjoyed moderate success on the charts with Keep It Together, its fourth album, with two singles in the Adult Top 40 (""Careful"" and ""Amsterdam""). Joe Pisapia joined the official lineup for Keep It Together, and its follow-up, Ganging Up on the Sun, peaked at 25 on the Billboard 200. A variety of television shows and movies have featured the band's music, including Martian Child, which featured their song ""Satellite""; Disturbia; Wedding Crashers; Life as a House, which makes several allusions to the band throughout the film, The O.C.; and one of the band’s songs was used in an ad for The Weather Channel.Guster's tours were originally local, but began to spread as the band gained popularity. In 1999, Guster gave its first performance in Canada, followed by a 2004 tour in Britain that had four shows in London and one in Manchester. Guster maintains a liberal taping policy and has a very dedicated and active taping community. Despite this policy, the band has released several live shows via iTunes.",,
16,446/UBO3819496,So in love ,2009,30073,Roberta Gambarini,,,"Roberta Gambarini is an Italian jazz singer. She was born in Turin, Italy, and started taking clarinet lessons at age twelve. She made her singing debut at age seventeen in jazz clubs around Northern Italy, then moved to Milan, where she worked in radio and television and began recording under her own name in 1986. In 1998, two weeks after arriving in the United States with a scholarship from the New England Conservatory of Music, she was awarded a third place finish in the Thelonious Monk International Jazz Vocal Competition. She left Boston for New York City to find work in jazz clubs. She got her big break in 2006 with the release of her album ""Easy to Love,"" which caught the attention of jazz critics. Taking a classic modern jazz album by Dizzy Gillespie (""Sonny Side Up,"" Verve, 1957), she sang each of the three intricate solos by undisputed masters of the idiom (trumpeter Dizzy Gillespie and tenor saxophonists Sonny Stitt and Sonny Rollins) executing each in the original register of horn (including Rollins' lowest notes and Gillespie's stratospheric ones) with such command, accuracy and ease of execution that jazz' elder statesman, nonagenarian pianist Hank Jones was moved to publicly proclaim her the ""best new jazz vocalist to come along in fifty years"".",Groovin' High,
17,9200369/webclient_DeliveryManager_pid_7784309_custom_att_2_simple_viewer,"Ravel, Debussy, Duparc",2006,190224,,,,,Emi Classics,City of London
18,496/MIL0877593,Quattrottave,2003,30073,Quattrottave,,,,Preludio,
19,496/MOD1606767,Ricreazione ,2012,30073,Malika Ayane,1984-01-31,,"Malika Ayane (born 31 January 1984, Milan, Italy) is an Italian pop singer.",Sugar,
20,496/UBO3950811,Giulietta degli spiriti ,2012,30073,Nino Rota,1911-12-03,1979-04-10,"Giovanni ""Nino"" Rota (3 December 1911 – 10 April 1979) was an Italian composer, pianist, conductor and academic who is best known for his film scores, notably for the films of Federico Fellini and Luchino Visconti. He also composed the music for two of Franco Zeffirelli's Shakespeare films, and for the first two films of Francis Ford Coppola's Godfather trilogy, receiving the Academy Award for Best Original Score for The Godfather Part II (1974). During his long career Rota was an extraordinarily prolific composer, especially of music for the cinema. He wrote more than 150 scores for Italian and international productions from the 1930s until his death in 1979—an average of three scores each year over a 46-year period, and in his most productive period from the late 1940s to the mid-1950s he wrote as many as ten scores every year, and sometimes more, with a remarkable thirteen film scores to his credit in 1954. Alongside this great body of film work, he composed ten operas, five ballets and dozens of other orchestral, choral and chamber works, the best known being his string concerto. He also composed the music for many theatre productions by Visconti, Zeffirelli and Eduardo De Filippo as well as maintaining a long teaching career at the Liceo Musicale in Bari, Italy, where he was the director for almost 30 years.",Warner Music,
21,496/MIL0865451,Ecce homo : I sopravvissuti ,2008,30073,Ennio Morricone,,,,GDM,
22,2059210/data_sounds_http___archive_org_download_hd2004_04_30_flac16_hd_2004_04_30_d1t09_mp3,Charlotte Breakdown,2010,202344,Hayseed Dixie,,,"Hayseed Dixie is an American band which began in 2001 with the release of their first album, A Hillbilly Tribute to AC/DC. The band performs a mixture of cover versions of hard rock songs and original compositions in a style that is a unique fusion of bluegrass and rock music and they are acknowledged as the creators of the musical genre ""Rockgrass"". The band's name is a linguistic play on the name of the band AC/DC. The project was originally called AC/Dixie on the first pressing of the debut album, but they respectfully heeded the request by lawyers from Sony Music to either change the name or face a copyright infringement lawsuit. Claiming to hail from Deer Lick Holler, Appalachia, the band has played over 1,000 live dates in 31 different countries since 2001.Upon its initial debut release on April 17, 2001, the first Hayseed Dixie album of acoustic hillbilly-styled reworkings of AC/DC songs received considerable morning-show radio airplay in the US, selling over 250,000 albums in the US from 2001 to 2003, and the band toured the US club and festival circuit extensively during that time. In March 2003, the band had the unique distinction of having 3 different albums in the Top 15 in the bluegrass category of the US Billboard charts at the same time. Western Europe, however, has shown the group the most enduring appreciation.Since 2001, the band has produced 13 further themed albums in the Rockgrass style, comprised of both hillbilly-esque reworkings of classic rock songs and of original material which is mainly satirical in nature.Hayseed Dixie has performed at most major European folk and rock music festivals, including an appearance opening the Main Stage at Glastonbury in 2005. Attesting to their cross-genre appeal, they are the only band who have ever headlined English festival stages at both Castle Donington Download Festival and the Cambridge Folk Festival in the same year. In September 2005 they held their own festival, called Loopallu, in the small coastal town of Ullapool, Scotland, which has since become an annual event, though they are no longer involved with it.In June 2007 Hayseed Dixie appeared on the opening day of the Download Festival and played at the Roskilde Festival in Denmark in July 2007. In October of 2010, the band played a 4-night ""Hayfest: Tour of Glasgow, Scotland"" performing 4 consecutive themed nights (Drinking, Cheating, Killing and Hell songs respectively) in the Scottish city with no songs repeated, thus playing over 8 hours of music during the 4 nights. Hayseed Dixie made a three-consecutive-night appearance at the Wacken Open Air Festival in Germany in 2011, playing three entirely different sets of material each night.Continuing to push boundaries in extreme and often absurd linguistic ways, Hayseed Dixie released an album on April 11, 2011 composed almost entirely of songs in the Norwegian language, titled Sjt Munchs Drikkeklubb Band. The group also charted a single in the summer of 2011 in Finland called ""Juodaan Viinaa,"" (a cover version of a song by Finnish musician Hector) which loosely translates to ""let's drink hard liquor!"" sung entirely in the Finnish language. Hayseed Dixie have also recorded several songs in the German language, among them a cover of Rammstein's ""Mein Teil"" and an original drinking song called ""Die Richtige Zeit für Schwarzbier,"" (English translation: ""the right time for black beer"") as well as one song in Spanish. Excepting the 2006 Halloween EP, You Wanna See Something REALLY Scary? which was recorded in Scotland, all of Hayseed Dixie's albums have been recorded by John Wheeler at Renaissance Recording, Nashville, Tennessee, entirely in the analogue recording format.Among others, BBC Radio 2's Jeremy Vine is a fan of their work and originally championed them at national radio in the UK. The group wrote and recorded the ""When you wanna hear great music..."" jingle for his daily radio show. They also performed twice in 2005 on the BBC Television show Top of the Pops.Kerosene Brothers was an alter-ego project of the band; they released the album Choose Your Own Title under that name in 2003 on Koch Records. John Wheeler released a solo album on the Cooking Vinyl label, titled Un-American Gothic, in February 2013. Dale Reno and Don Wayne Reno left the band in 2013 and formed a traditional bluegrass group which includes Mitch Harrell, the son of their father's bluegrass partner, called Reno and Harrell, which released an album called ""Reno Bound"" in September 2013. Joining Hayseed Dixie in the roles of banjo and mandolin were Johnny Butten, holder of the Guinness Book of World Records title for ""Fastest Banjo Player,"" and Hippy Joe Hymas.",,Russia
23,2059210/data_sounds_http___archive_org_download_hd2004_04_30_flac16_hd_2004_04_30_d1t02_mp3,Dirty Deeds Done Dirt Cheap,2010,266240,Hayseed Dixie,,,"Hayseed Dixie is an American band which began in 2001 with the release of their first album, A Hillbilly Tribute to AC/DC. The band performs a mixture of cover versions of hard rock songs and original compositions in a style that is a unique fusion of bluegrass and rock music and they are acknowledged as the creators of the musical genre ""Rockgrass"". The band's name is a linguistic play on the name of the band AC/DC. The project was originally called AC/Dixie on the first pressing of the debut album, but they respectfully heeded the request by lawyers from Sony Music to either change the name or face a copyright infringement lawsuit. Claiming to hail from Deer Lick Holler, Appalachia, the band has played over 1,000 live dates in 31 different countries since 2001.Upon its initial debut release on April 17, 2001, the first Hayseed Dixie album of acoustic hillbilly-styled reworkings of AC/DC songs received considerable morning-show radio airplay in the US, selling over 250,000 albums in the US from 2001 to 2003, and the band toured the US club and festival circuit extensively during that time. In March 2003, the band had the unique distinction of having 3 different albums in the Top 15 in the bluegrass category of the US Billboard charts at the same time. Western Europe, however, has shown the group the most enduring appreciation.Since 2001, the band has produced 13 further themed albums in the Rockgrass style, comprised of both hillbilly-esque reworkings of classic rock songs and of original material which is mainly satirical in nature.Hayseed Dixie has performed at most major European folk and rock music festivals, including an appearance opening the Main Stage at Glastonbury in 2005. Attesting to their cross-genre appeal, they are the only band who have ever headlined English festival stages at both Castle Donington Download Festival and the Cambridge Folk Festival in the same year. In September 2005 they held their own festival, called Loopallu, in the small coastal town of Ullapool, Scotland, which has since become an annual event, though they are no longer involved with it.In June 2007 Hayseed Dixie appeared on the opening day of the Download Festival and played at the Roskilde Festival in Denmark in July 2007. In October of 2010, the band played a 4-night ""Hayfest: Tour of Glasgow, Scotland"" performing 4 consecutive themed nights (Drinking, Cheating, Killing and Hell songs respectively) in the Scottish city with no songs repeated, thus playing over 8 hours of music during the 4 nights. Hayseed Dixie made a three-consecutive-night appearance at the Wacken Open Air Festival in Germany in 2011, playing three entirely different sets of material each night.Continuing to push boundaries in extreme and often absurd linguistic ways, Hayseed Dixie released an album on April 11, 2011 composed almost entirely of songs in the Norwegian language, titled Sjt Munchs Drikkeklubb Band. The group also charted a single in the summer of 2011 in Finland called ""Juodaan Viinaa,"" (a cover version of a song by Finnish musician Hector) which loosely translates to ""let's drink hard liquor!"" sung entirely in the Finnish language. Hayseed Dixie have also recorded several songs in the German language, among them a cover of Rammstein's ""Mein Teil"" and an original drinking song called ""Die Richtige Zeit für Schwarzbier,"" (English translation: ""the right time for black beer"") as well as one song in Spanish. Excepting the 2006 Halloween EP, You Wanna See Something REALLY Scary? which was recorded in Scotland, all of Hayseed Dixie's albums have been recorded by John Wheeler at Renaissance Recording, Nashville, Tennessee, entirely in the analogue recording format.Among others, BBC Radio 2's Jeremy Vine is a fan of their work and originally championed them at national radio in the UK. The group wrote and recorded the ""When you wanna hear great music..."" jingle for his daily radio show. They also performed twice in 2005 on the BBC Television show Top of the Pops.Kerosene Brothers was an alter-ego project of the band; they released the album Choose Your Own Title under that name in 2003 on Koch Records. John Wheeler released a solo album on the Cooking Vinyl label, titled Un-American Gothic, in February 2013. Dale Reno and Don Wayne Reno left the band in 2013 and formed a traditional bluegrass group which includes Mitch Harrell, the son of their father's bluegrass partner, called Reno and Harrell, which released an album called ""Reno Bound"" in September 2013. Joining Hayseed Dixie in the roles of banjo and mandolin were Johnny Butten, holder of the Guinness Book of World Records title for ""Fastest Banjo Player,"" and Hippy Joe Hymas.",,Russia
24,496/MIL0875993,1: The Sixties / Ennio Morricone,2010,30073,Ennio Morricone,,,,Armonia,
25,9200369/webclient_DeliveryManager_pid_7644066_custom_att_2_simple_viewer,La fille du régiment,2009,125179,Gaetano Donizetti,1797-11-29,1848-04-08,"Domenico Gaetano Maria Donizetti (born 29 November 1797 – died 8 April 1848) was an Italian composer from Bergamo, Lombardy.Although Donizetti did not come from a musical background, at an early age, he was taken under the wing of composer Simon Mayr who had set up the Lezioni Caritatevoli and had enrolled him by means of a full scholarship. There he received detailed training in the arts of fugue and counterpoint, and it was from there that Mayr was instrumental in obtaining a place for the young man at the Bologna Academy. In Bologna, at the age of 19, he wrote his first one-act opera, the comedy Il Pigmalione, although it does not appear to have been performed during his lifetime.Through his life, Donizetti wrote about 70 operas, but an offer in 1822 from Domenico Barbaja, the impresario of the Teatro San Carlo in Naples, which followed the composer's ninth opera, led to his move to that city and the composition of 28 operas, the premieres of all of which were given at that house or in one of the city's smaller houses including the Teatro Nuovo or the Teatro del Fondo. This continued—with some periods of discord—until the production of Caterina Cornaro in January 1844. In all, Naples presented 51 of Donizetti's operas.During this early period, success came primarily with the comic operas, the serious ones failing to attract significant audiences. However, the situation changed with the appearance in 1830 of the opera seria, Anna Bolena which was the first to make a major impact on the Italian and international opera scene and, at the same time, to shift the balance for the composer away from success with only comedic operas. However, even after 1830, his best-known works did also include comedies such as L'elisir d'amore (1832) and Don Pasquale (1843). But significant historical dramas did appear and became successful, sometimes outside Naples before reaching that city. Most significantly, they included Lucia di Lammermoor (the first to have a libretto written by Salvadore Cammarano) in 1835, in addition to ""one of [his] most successful Neapolitan operas"", Roberto Devereux in 1837. Up to that point, all of his operas had been set to Italian libretti.However, accepting an offer from the Paris Opéra for two new operas, he moved to Paris in October 1838, and began to set his operas to French texts. These included the first, a French version of the unperformed Poliuto which became Les martyrs in April 1840. The attraction of moving to Paris was more than for receiving larger fees and prestige; Donizetti's chafing against the censorial limitations which existed in Italy resulted in much greater freedom in Paris to choose subject matter. Two new operas, written to French texts, were given in Paris. They were La fille du régiment (the first specifically composed to be performed in French), in addition to La favorite.By 1845 severe illness caused him to be moved back to Bergamo, where he died in 1848.Along with Gioachino Rossini and Vincenzo Bellini, he was a leading composer of bel canto opera during the first fifty years of the Nineteenth Century.",Decca Classics,City of London
26,2059210/data_sounds_http___archive_org_download_charlieparr2007_10_07_charlieparr2007_10_07mtx_d2t15_mp3,Jubilee,2007,197695,Charlie Parr,,,"Charlie Parr is an American country blues musician, born in Austin, Minnesota, United States. He started his music career in Duluth, Minnesota. His influences include Charlie Patton, Bukka White, Reverend Gary Davis, Dave Van Ronk, and Mississippi John Hurt. He plays a National resonator guitar, a fretless open-back banjo, and a 12-string guitar often in the Piedmont blues style. He is married (to Emily Parr, who occasionally adds back vocals to Charlie's music) with two children.As of May 2008, the song ""1922"" has been featured in an Australian and New Zealand Vodafone television advertisement. As a consequence Parr's album, 1922, was re-released in Australia on the Level 2 record label in Melbourne. In 2009, Parr toured Australia with Paul Kelly.Several of Parr's songs were featured in the Australian drama film ""Red Hill"" released in 2010, including a full rendition of ""Just Like Today"" in the closing credits of the film. His music was also featured in the background of a commercial for Gerber Gear entitled ""Hello Trouble"". It features the song ""Ain't No Grave Gonna Hold My Body Down"".Parr played at the 2011 Pickathon Music Festival in Oregon, and the 2012 Willamina's Wildwood MusicFest & Campout.",,
27,9200369/webclient_DeliveryManager_pid_7646775_custom_att_2_simple_viewer,Giovanni Gabrieli,2012,307775,Giovanni Gabrieli,1554,1612,"Giovanni Gabrieli (c. 1554/1557 – 12 August 1612) was an Italian composer and organist. He was one of the most influential musicians of his time, and represents the culmination of the style of the Venetian School, at the time of the shift from Renaissance to Baroque idioms.",Hyperion,City of London
28,496/MIL0869682,Rumore Amore ,2010,30073,Marco Fabi,,,,Edel,
29,9200369/webclient_DeliveryManager_pid_7871906_custom_att_2_simple_viewer,Il ritorno d'Ulisse in patria,2008,304094,Claudio Monteverdi,1567-05-15,1643-11-29,"Claudio Giovanni Antonio Monteverdi (15 May 1567 (baptized) – 29 November 1643) was an Italian composer, gambist, singer and Roman Catholic priest.Monteverdi's work, often regarded as revolutionary, marked the transition from the Renaissance style of music to that of the Baroque period. He developed two individual styles of composition – the heritage of Renaissance polyphony and the new basso continuo technique of the Baroque. Monteverdi wrote one of the earliest operas, L'Orfeo, an innovative work that is the earliest surviving opera that is still regularly performed. He was recognized as an innovative composer and enjoyed considerable fame in his lifetime.",Warner Classics,City of London
30,2059210/data_sounds_http___archive_org_download_DWatson2008_04_09_DWatson2008_04_09d2t03_mp3,I Got Stripes,2008,181864,Dale Watson,1962-10-07,,"Dale Watson (born October 7, 1962 in Birmingham, Alabama) is an American country/Texas Country singer, guitarist, songwriter, and self-published author based in Austin, Texas. He champions ""Ameripolitan"" as a new genre of original music and has positioned himself as a tattooed, stubbornly independent outsider who is interested in recording authentic country music. As a result, his record sales have been slow, but he has become a favorite of critics and alt-country fans.",,
31,446/MIL0857665,Turandot ,2010,30073,Giacomo Puccini,1858-12-22,1924-11-29,"Giacomo Puccini (22 December 1858 – 29 November 1924) was an Italian composer whose operas are among the important operas played as standards.Puccini has been called ""the greatest composer of Italian opera after Verdi"". While his early work was rooted in traditional late-19th-century romantic Italian opera, he successfully developed his work in the realistic verismo style, of which he became one of the leading exponents.",Emi Classics,
32,2059210/data_sounds_http___archive_org_download_jakeshimabukuro2008_06_15_r09_jakeshimabukuro2008_06_15t02_mp3,Let's Dance,2008,203207,Jake Shimabukuro,1976-11-03,,"Jake Shimabukuro (born November 3, 1976 in Honolulu, Hawaii) is a ukulele virtuoso and composer known for his fast and complex finger work. His music combines elements of jazz, blues, funk, rock, bluegrass, classical, folk, and flamenco. Shimabukuro has written numerous original compositions, including the entire soundtracks to two Japanese films, Hula Girls (2007) and the Japanese remake of Sideways (2009).Well known in Hawaii and Japan during his early solo career in the early 2000s, Shimabukuro became famous internationally in 2006, when a video of him playing a virtuosic rendition of ""While My Guitar Gently Weeps"" was posted on YouTube without his knowledge and became one of the first viral videos on that site. His concert engagements, collaborations with legendary musicians, media appearances, and music production have snowballed since then. In 2012, an award-winning documentary was released tracking his life, career, and music, titled Jake Shimabukuro: Life on Four Strings; it has screened in a variety of festivals, aired repeatedly on PBS, and been released on DVD.",,Manchester
33,9200369/webclient_DeliveryManager_pid_7872742_custom_att_2_simple_viewer,Carmina Burana,2010,124494,Carl Orff,1895-07-10,1982-03-29,"Carl Orff ((1895-07-10)July 10, 1895 – March 29, 1982(1982-03-29)) was a 20th-century German composer, best known for his cantata Carmina Burana (1937). In addition to his career as a composer, Orff developed an influential approach toward music education for children.",Deutsche Grammophon,Berlin
34,9200369/webclient_DeliveryManager_pid_8399037_custom_att_2_simple_viewer,The six partitas [BWV 825-830],1997,188630,Johann Sebastian Bach,,,,Hyperion,City of London
35,2059210/data_sounds_http___archive_org_download_mickthomas2010_01_01_zoomh2_flac16_mickthomas2010_01_01t19_mp3,As You Lay Sleeping,2012,242260,Mick Thomas,1960-02-07,,"Michael James Thomas (born 7 February 1960, Yallourn) is an Australian singer-songwriter, producer and guitarist. Thomas was the founding mainstay of a folk rock group, Weddings Parties Anything (1984–1998), and leader of Mick Thomas and the Sure Thing. He has also released material as a solo artist.",,Australia
36,496/LO11404976,Alex Britti,2003,30073,Alex Britti,1968-08-23,,"Alessandro ""Alex"" Britti (born 23 August 1968) is an Italian singer-songwriter and guitarist.",Universal Music,
37,496/MIL0865567,Gli spari sopra,2009,30073,Vasco Rossi,1952-02-07,,"Vasco Rossi (born 7 February 1952), also known as Vasco or with the nickname Il Blasco, is an Italian singer-songwriter. During his career, he has published 26 albums (not including unofficial releases) and has written over 250 songs, as well as lyrics for other artists. He calls himself a ""provoca(u)tore"" (an Italian portmanteau for ""provoking author"") as throughout his career he has been regularly criticized over his choice of lifestyle and the lyrics in his songs.",Emi Classics,
